district_id,kecamatan_name,kabupaten_name,provinsi_name,numVisit
7308015,Palakka,Bone,Sulawesi Selatan,24
3204007,Cilengkrang,Bandung,Jawa Barat,24
7305007,Pattallassang,Takalar,Sulawesi Selatan,23
3211008,Paseh,Sumedang,Jawa Barat,23
1274003,Sei Tualang Raso,Kota Tanjung Balai,Sumatera Utara,23
3204030,Pacet,Bandung,Jawa Barat,23
1273002,Sibolga Kota,Kota Sibolga,Sumatera Utara,23
1207003,Sibolangit,Deli Serdang,Sumatera Utara,23
7308016,Awangpone,Bone,Sulawesi Selatan,23
3216003,Sukawangi,Bekasi,Jawa Barat,23
1208012,Hatonduhan,Simalungun,Sumatera Utara,22
3201040,Tenjolaya,Bogor,Jawa Barat,22
1208022,Bandar Huluan,Simalungun,Sumatera Utara,22
3603014,Kosambi,Tangerang,Banten,21
3205011,Leuwigoong,Garut,Jawa Barat,21
3211016,Rancakalong,Sumedang,Jawa Barat,21
3601006,Panimbang,Pandeglang,Banten,21
1201003,Pandan,Tapanuli Tengah,Sumatera Utara,21
1205008,Wampu,Langkat,Sumatera Utara,21
1208008,Bosar Maligas,Simalungun,Sumatera Utara,20
3205002,Karangpawitan,Garut,Jawa Barat,20
7306001,Bontonompo,Gowa,Sulawesi Selatan,20
1223003,Kualuh Hilir,Labuhanbatu Utara,Sumatera Utara,20
1222001,Kotapinang,Labuhanbatu Selatan,Sumatera Utara,20
3205012,Cibatu,Garut,Jawa Barat,19
1209021,Aek Songsongan,Asahan,Sumatera Utara,19
7308009,Barebbo,Bone,Sulawesi Selatan,19
1205003,Kuala,Langkat,Sumatera Utara,19
1218006,Bandar Khalipah,Serdang Bedagai,Sumatera Utara,19
1218014,Pegajahan,Serdang Bedagai,Sumatera Utara,19
7203019,Tanantovea,Donggala,Sulawesi Tengah,19
7308026,Bengo,Bone,Sulawesi Selatan,18
3205038,Bl. Limbangan,Garut,Jawa Barat,18
7313010,Pitumpanua,Wajo,Sulawesi Selatan,18
1171006,Kuta Raja,Kota Banda Aceh,Aceh,18
1813001,Pesisir Tengah,Pesisir Barat,Lampung,18
1209018,Aek Kuasan,Asahan,Sumatera Utara,18
3205019,Cilawu,Garut,Jawa Barat,18
7326011,Tallunglipu,Toraja Utara,Sulawesi Selatan,18
3216013,Pebayuran,Bekasi,Jawa Barat,18
1604031,Lahat Selatan,Lahat,Sumatera Selatan,18
1209011,Sei Kepayang,Asahan,Sumatera Utara,18
1277005,Padangsidimpuan Tenggara,Kota Padang Sidempuan,Sumatera Utara,18
5103002,Mengwi,Badung,Bali,18
7210012,Dolo,Sigi,Sulawesi Tengah,18
7308023,Tanete Riattang Timur,Bone,Sulawesi Selatan,18
7201020,Luwuk Selatan,Banggai,Sulawesi Tengah,17
1213001,Panyabungan,Mandailing Natal,Sumatera Utara,17
1205010,Hinai,Langkat,Sumatera Utara,17
3202011,Cibadak,Sukabumi,Jawa Barat,16
1210020,Panai Hulu,Labuhanbatu,Sumatera Utara,16
7308010,Cina,Bone,Sulawesi Selatan,16
